TICKER,Sector,Percentage of portfolio,Percentage of sector
IYT,Industrials,4.7054394880481836e-05,0.000564652738565782
VIS,Industrials,4.7054394880481836e-05,0.000564652738565782
EVX,Industrials,4.7054394880481836e-05,0.000564652738565782
ITA,Industrials,4.7054394880481836e-05,0.000564652738565782
PPA,Industrials,4.7054394880481836e-05,0.000564652738565782
PRN,Industrials,4.7054394880481836e-05,0.000564652738565782
RGI,Industrials,4.7054394880481836e-05,0.000564652738565782
PSCI,Industrials,4.7054394880481836e-05,0.000564652738565782
XTN,Industrials,4.7054394880481836e-05,0.000564652738565782
XAR,Industrials,4.7054394880481836e-05,0.000564652738565782
FIDU,Industrials,4.7054394880481836e-05,0.000564652738565782
AIRR,Industrials,4.7054394880481836e-05,0.000564652738565782
JHMI,Industrials,4.7054394880481836e-05,0.000564652738565782
FEDX,Industrials,4.7054394880481836e-05,0.000564652738565782
XLI,Industrials,4.7054394880481836e-05,0.000564652738565782
NFYEF,Industrials,4.7054394880481836e-05,0.000564652738565782
OCLN,Industrials,4.7054394880481836e-05,0.000564652738565782
WLOLQ,Industrials,4.7054394880481836e-05,0.000564652738565782
FELTY,Industrials,4.7054394880481836e-05,0.000564652738565782
SMBMY,Industrials,4.7054394880481836e-05,0.000564652738565782
FRRVY,Industrials,4.7054394880481836e-05,0.000564652738565782
HTCMY,Industrials,4.7054394880481836e-05,0.000564652738565782
NOBGY,Industrials,4.7054394880481836e-05,0.000564652738565782
PCFBY,Industrials,4.7054394880481836e-05,0.000564652738565782
DNIYY,Industrials,4.7054394880481836e-05,0.000564652738565782
TOKUY,Industrials,4.7054394880481836e-05,0.000564652738565782
CPBLF,Industrials,4.7054394880481836e-05,0.000564652738565782
FRCN,Industrials,4.7054394880481836e-05,0.000564652738565782
EENR,Industrials,4.7054394880481836e-05,0.000564652738565782
TPRKD,Industrials,4.7054394880481836e-05,0.000564652738565782
FBHS,Industrials,4.7054394880481836e-05,0.000564652738565782
ITMPF,Industrials,4.7054394880481836e-05,0.000564652738565782
RCDOF,Industrials,4.7054394880481836e-05,0.000564652738565782
MARUF,Industrials,4.7054394880481836e-05,0.000564652738565782
SPSTF,Industrials,4.7054394880481836e-05,0.000564652738565782
HMCTF,Industrials,4.7054394880481836e-05,0.000564652738565782
GULRF,Industrials,4.7054394880481836e-05,0.000564652738565782
NERG,Industrials,4.7054394880481836e-05,0.000564652738565782
MOPN,Industrials,4.7054394880481836e-05,0.000564652738565782
OROVF,Industrials,4.7054394880481836e-05,0.000564652738565782
NRBT,Industrials,4.7054394880481836e-05,0.000564652738565782
CSSXF,Industrials,4.7054394880481836e-05,0.000564652738565782
WEICF,Industrials,4.7054394880481836e-05,0.000564652738565782
BCKIF,Industrials,4.7054394880481836e-05,0.000564652738565782
LHGI,Industrials,4.7054394880481836e-05,0.000564652738565782
GBERY,Industrials,4.7054394880481836e-05,0.000564652738565782
SNWAF,Industrials,4.7054394880481836e-05,0.000564652738565782
SAFRF,Industrials,4.7054394880481836e-05,0.000564652738565782
